Province/State,AverageTemperature,Pop
Alaska,26.6,734002
North Dakota,40.4,761723
Maine,41,1345790
Minnesota,41.2,5700671
Wyoming,42,567025
Montana,42.7,1086759
Vermont,42.9,628061
Wisconsin,43.1,5851754
New Hampshire,43.8,1371246
Idaho,44.4,1826156
Michigan,44.4,10045029
Colorado,45.1,5845526
South Dakota,45.2,903027
New York,45.4,19440469
Iowa,47.8,3179849
Massachusetts,47.9,6976597
Washington,48.3,7797095
Oregon,48.4,4301089
Utah,48.6,3282115
Nebraska,48.8,1952570
Pennsylvania,48.8,12820878
Connecticut,49,3563077
Nevada,49.9,3139658
Rhode Island,50.1,1056161
Ohio,50.7,11747694
Indiana,51.7,6745354
Illinois,51.8,12659682
West Virginia,51.8,1778070
New Jersey,52.7,8936574
New Mexico,53.4,2096640
Maryland,54.2,6083116
Kansas,54.3,2910357
Missouri,54.6,6169270
Virginia,55.1,8626207
Delaware,55.3,982895
Kentucky,55.6,4499692
Tennessee,57.6,6897576
North Carolina,59,10611862
California,59.4,39937489
Oklahoma,59.6,3954821
Arizona,60.3,7378494
Arkansas,60.4,3038999
South Carolina,62.4,5210095
Alabama,62.8,4908621
Mississippi,63.4,2989260
Georgia,63.5,10736059
Texas,64.8,29472295
Louisiana,66.4,4645184
Hawaii,70,1412687
Florida,70.7,21992985
